service_side,start_frame,end_frame,JOMR_score,MarV_LauA_score,JOMR_sets,MarV_LauA_sets,point_index
match start - service JOMR,145,526,0,0,0,0,001
service MarV_LauA,865,1406,0,1,0,0,002
service MarV_LauA,1871,2125,0,2,0,0,003
service JOMR,2501,2739,1,2,0,0,004
service MarV_LauA,3083,3433,1,3,0,0,005
service JOMR,3797,4359,2,3,0,0,006
service JOMR,4916,5216,3,3,0,0,007
*SWITCH*,5378,5471,3,3,0,0,999
service MarV_LauA,5844,6133,3,4,0,0,008
service JOMR,6492,6630,4,4,0,0,009
service MarV_LauA,6806,7403,4,5,0,0,010
service MarV_LauA,7830,8174,4,6,0,0,011
service JOMR,8542,8926,5,6,0,0,012
service MarV_LauA,9327,9688,5,7,0,0,013
service MarV_LauA,9950,10345,5,8,0,0,014
*SWITCH*,10608,10651,5,8,0,0,999
service MarV_LauA,11003,11513,5,9,0,0,015
service JOMR,12114,12328,6,9,0,0,016
service MarV_LauA,12598,13013,6,10,0,0,017
Timeout,13525,13999,6,10,0,0,999
service MarV_LauA,15275,15676,6,11,0,0,018
service JOMR,16078,16625,7,11,0,0,019
service MarV_LauA,17065,17612,7,12,0,0,020
service MarV_LauA,18024,18390,7,13,0,0,021
*SWITCH*,20034,20112,7,13,0,0,999
service JOMR,20458,20638,8,13,0,0,022
service MarV_LauA,20891,21353,8,14,0,0,023
service JOMR,21665,21999,9,14,0,0,024
service MarV_LauA,22552,22855,9,15,0,0,025
service MarV_LauA,23096,23543,9,16,0,0,026
service MarV_LauA,24116,24544,9,17,0,0,027
service JOMR,25015,25206,10,17,0,0,028
*SWITCH*,25521,25582,10,17,0,0,999
service MarV_LauA,25844,26108,10,18,0,0,029
service JOMR,26373,26559,11,18,0,0,030
service JOMR,26844,27178,12,18,0,0,031
service MarV_LauA,27437,27913,12,19,0,0,032
service MarV_LauA,28153,28481,12,20,0,0,033
end of set,0,0,12,21,0,1,999
set start - service MarV_LauA,30627,31074,0,0,0,1,034
service MarV_LauA,31299,31620,0,1,0,1,035
service MarV_LauA,31932,32357,0,2,0,1,036
service MarV_LauA,32812,33710,0,3,0,1,037
Timeout,34476,34838,0,3,0,1,999
service MarV_LauA,36349,36778,0,4,0,1,038
service JOMR,37127,37616,1,4,0,1,039
service MarV_LauA,38265,38636,1,5,0,1,040
*SWITCH*,38837,38889,1,5,0,1,999
service JOMR,39137,39644,2,5,0,1,041
service MarV_LauA,39973,40306,2,6,0,1,042
service MarV_LauA,40797,41276,2,7,0,1,043
service JOMR,41951,42153,3,7,0,1,044
service JOMR,42379,42641,4,7,0,1,045
Timeout,43239,43395,4,7,0,1,999
service JOMR,44876,45133,5,7,0,1,046
service JOMR,45558,45865,6,7,0,1,047
*SWITCH*,46215,46375,6,7,0,1,999
service MarV_LauA,46539,46898,6,8,0,1,048
service JOMR,47176,47517,7,8,0,1,049
service MarV_LauA,47823,48176,7,9,0,1,050
service JOMR,48391,48901,8,9,0,1,051
service JOMR,49343,49660,9,9,0,1,052
service JOMR,49902,50394,10,9,0,1,053
service MarV_LauA,50676,51086,10,10,0,1,054
*SWITCH*,51669,51946,10,10,0,1,999
service MarV_LauA,53160,53592,10,11,0,1,055
service JOMR,54359,54903,11,11,0,1,056
service JOMR,55909,56919,12,11,0,1,057
service MarV_LauA,57343,57676,12,12,0,1,058
service JOMR,57931,58452,13,12,0,1,059
service JOMR,58985,59201,14,12,0,1,060
service JOMR,59496,59777,15,12,0,1,061
*SWITCH*,59991,60046,15,12,0,1,999
service JOMR,60243,60708,16,12,0,1,062
service MarV_LauA,60917,61240,16,13,0,1,063
service JOMR,61538,61760,17,13,0,1,064
service MarV_LauA,62031,62857,17,14,0,1,065
service JOMR,63342,63698,18,14,0,1,066
service MarV_LauA,63994,64244,18,15,0,1,067
service JOMR,64534,64952,19,15,0,1,068
*SWITCH*,65211,65311,19,15,0,1,999
service JOMR,65477,65692,20,15,0,1,069
service MarV_LauA,66192,66816,20,16,0,1,070
service MarV_LauA,67319,67822,20,17,0,1,071
end of set,0,0,21,17,1,1,999
set start - service JOMR,70436,70820,0,0,1,1,072
service JOMR,71074,71317,1,0,1,1,073
service JOMR,71833,72095,2,0,1,1,074
service JOMR,72455,72814,3,0,1,1,075
service MarV_LauA,73145,73725,3,1,1,1,076
*SWITCH*,74076,74131,3,1,1,1,999
service MarV_LauA,75697,76023,3,2,1,1,077
service MarV_LauA,76260,76591,3,3,1,1,078
service MarV_LauA,76875,77239,3,4,1,1,079
service MarV_LauA,77584,77858,3,5,1,1,080
service MarV_LauA,78168,78613,3,6,1,1,081
service MarV_LauA,79561,79937,3,7,1,1,082
service JOMR,80283,80545,4,7,1,1,083
service MarV_LauA,80747,81323,4,8,1,1,084
service MarV_LauA,81769,82328,4,9,1,1,085
service MarV_LauA,82832,83453,4,10,1,1,086
*SWITCH*,83585,83632,4,10,1,1,999
service JOMR,84045,84277,5,10,1,1,087
service JOMR,84640,84983,6,10,1,1,088
service MarV_LauA,85478,86300,6,11,1,1,089
service JOMR,86828,87077,7,11,1,1,090
Timeout,87761,87896,7,11,1,1,999
service JOMR,89355,89707,8,11,1,1,091
*SWITCH*,89930,89969,8,11,1,1,999
service MarV_LauA,90348,90658,8,12,1,1,092
service JOMR,91050,91411,9,12,1,1,093
service MarV_LauA,91780,92247,9,13,1,1,094
service MarV_LauA,92760,93380,9,14,1,1,095
service JOMR,93537,93956,10,14,1,1,096
end of set,0,0,10,15,1,2,999
