service_side,start_frame,end_frame,JOMR_score,MaeG_MarB_score,JOMR_sets,MaeG_MarB_sets,point_index
match start - service JOMR,305,681,0,0,0,0,001
service MaeG_MarB,940,1401,0,1,0,0,002
service MaeG_MarB,1686,2040,0,2,0,0,003
service JOMR,2588,3028,1,2,0,0,004
service MaeG_MarB,3267,3515,1,3,0,0,005
*SWITCH*,4422,4459,1,3,0,0,999
service MaeG_MarB,4635,5047,1,4,0,0,006
service MaeG_MarB,5302,5640,1,5,0,0,007
service JOMR,6097,6502,2,5,0,0,008
service JOMR,6921,7181,3,5,0,0,009
service MaeG_MarB,7492,7774,3,6,0,0,010
*SWITCH*,7876,7921,3,6,0,0,999
service JOMR,8339,8746,4,6,0,0,011
service MaeG_MarB,9070,9235,4,7,0,0,012
service JOMR,9464,9718,5,7,0,0,013
service JOMR,10139,10441,6,7,0,0,014
service MaeG_MarB,10706,11062,6,8,0,0,015
*SWITCH*,11166,11211,6,8,0,0,999
service JOMR,11465,11739,7,8,0,0,016
service MaeG_MarB,11991,12414,7,9,0,0,017
service MaeG_MarB,12804,13064,7,10,0,0,018
service MaeG_MarB,13368,13706,7,11,0,0,019
Timeout,14166,14363,7,11,0,0,999
service MaeG_MarB,15466,15683,7,12,0,0,020
*SWITCH*,15841,15888,7,12,0,0,999
service JOMR,16075,16522,8,12,0,0,021
service MaeG_MarB,16944,17360,8,13,0,0,022
service JOMR,17675,17981,9,13,0,0,023
service MaeG_MarB,18248,18537,9,14,0,0,024
service JOMR,18799,19066,10,14,0,0,025
end of set,0,0,10,15,0,1,999
set start - service JOMR,21296,21557,0,0,0,1,026
service MaeG_MarB,21843,22300,0,1,0,1,027
service JOMR,22519,22711,1,1,0,1,028
service JOMR,22986,23279,2,1,0,1,029
service MaeG_MarB,23549,23952,2,2,0,1,030
*SWITCH*,24135,24231,2,2,0,1,999
service MaeG_MarB,24482,24726,2,3,0,1,031
service JOMR,24981,25431,3,3,0,1,032
service MaeG_MarB,25884,26528,3,4,0,1,033
service MaeG_MarB,26971,27473,3,5,0,1,034
service JOMR,27804,28019,4,5,0,1,035
*SWITCH*,28145,28203,4,5,0,1,999
service JOMR,28536,28789,5,5,0,1,036
service MaeG_MarB,29033,29327,5,6,0,1,037
service JOMR,29835,30156,6,6,0,1,038
service MaeG_MarB,30495,30912,6,7,0,1,039
service JOMR,31448,31726,7,7,0,1,040
service MaeG_MarB,32507,32835,7,8,0,1,041
service MaeG_MarB,33053,33343,7,9,0,1,042
service JOMR,33731,33983,8,9,0,1,043
service MaeG_MarB,34146,34450,8,10,0,1,044
service JOMR,34681,35362,9,10,0,1,045
*SWITCH*,35531,35574,9,10,0,1,999
service JOMR,35728,36083,10,10,0,1,046
service MaeG_MarB,36431,36880,10,11,0,1,047
service JOMR,37189,37486,11,11,0,1,048
service MaeG_MarB,37930,38388,11,12,0,1,049
service MaeG_MarB,38678,39085,11,13,0,1,050
*SWITCH*,39174,39218,11,13,0,1,999
service MaeG_MarB,39584,40055,11,14,0,1,051
end of set,0,0,11,15,0,2,999
