service_side,start_frame,end_frame,JOMR_score,AleE_DinM_score,JOMR_sets,AleE_DinM_sets,point_index
match start - service AleE_DinM,37,281,0,0,0,0,001
service JOMR,427,506,1,0,0,0,002
service JOMR,731,986,2,0,0,0,003
service AleE_DinM,1393,1522,2,1,0,0,004
service JOMR,1728,2344,3,1,0,0,005
*SWITCH*,2817,2852,3,1,0,0,999
service JOMR,3197,3336,4,1,0,0,006
service JOMR,3617,3802,5,1,0,0,007
service JOMR,4072,4360,6,1,0,0,008
service AleE_DinM,4683,4913,6,2,0,0,009
service JOMR,5267,5432,7,2,0,0,010
*SWITCH*,5690,5745,7,2,0,0,999
service AleE_DinM,6043,6391,7,3,0,0,011
service AleE_DinM,6737,7021,7,4,0,0,012
service JOMR,7359,7809,8,4,0,0,013
Timeout,8336,8533,8,4,0,0,999
service JOMR,9852,10055,9,4,0,0,014
service AleE_DinM,10325,10617,9,5,0,0,015
*SWITCH*,10767,10854,9,5,0,0,999
service JOMR,11143,11379,10,5,0,0,016
service JOMR,11907,12246,11,5,0,0,017
service AleE_DinM,12804,13133,11,6,0,0,018
service JOMR,13587,13963,12,6,0,0,019
service JOMR,14354,14556,13,6,0,0,020
*SWITCH*,14672,14719,13,6,0,0,999
service AleE_DinM,15051,15309,13,7,0,0,021
service JOMR,15726,16060,14,7,0,0,022
service AleE_DinM,16543,16716,14,8,0,0,023
end of set,0,0,15,8,1,0,999
set start - service JOMR,18926,19335,0,0,1,0,024
service JOMR,19817,20000,1,0,1,0,025
service AleE_DinM,20273,20543,1,1,1,0,026
service JOMR,20889,21056,2,1,1,0,027
service AleE_DinM,21321,21596,2,2,1,0,028
*SWITCH*,21770,21820,2,2,1,0,999
service JOMR,22133,22364,3,2,1,0,029
service JOMR,22692,22989,4,2,1,0,030
service AleE_DinM,23217,23329,4,3,1,0,031
service AleE_DinM,23600,23716,4,4,1,0,032
service JOMR,24016,24329,5,4,1,0,033
*SWITCH*,24630,24679,5,4,1,0,999
service AleE_DinM,24987,25219,5,5,1,0,034
service JOMR,25638,25911,6,5,1,0,035
service AleE_DinM,26071,26169,6,6,1,0,036
service JOMR,26405,26778,7,6,1,0,037
service JOMR,27018,27228,8,6,1,0,038
*SWITCH*,27375,27416,8,6,1,0,999
service JOMR,27782,27936,9,6,1,0,039
service AleE_DinM,28477,28804,9,7,1,0,040
service AleE_DinM,29171,29540,9,8,1,0,041
service JOMR,29977,30177,10,8,1,0,042
service AleE_DinM,30451,30634,10,9,1,0,043
*SWITCH*,30744,30794,10,9,1,0,999
service JOMR,31057,31240,11,9,1,0,044
service AleE_DinM,31620,31828,11,10,1,0,045
service JOMR,32201,32356,12,10,1,0,046
service AleE_DinM,32721,33174,12,11,1,0,047
service JOMR,33613,33911,13,11,1,0,048
*SWITCH*,33982,34021,13,11,1,0,999
service AleE_DinM,34584,34745,13,12,1,0,049
service JOMR,35062,35310,14,12,1,0,050
service AleE_DinM,35909,36161,14,13,1,0,051
end of set,0,0,15,13,2,0,999
