game_id,serie,stage,team_a,team_b,victory,set1_score,set2_score,set3_score,set1_score_adv,set2_score_adv,set3_score_adv
JOMR_jan26_MBV_01,MBV_S2-250_F_jan26,poule,JOMR,NoG_AliP,JOMR,,,,,,
JOMR_jan26_MBV_02,MBV_S2-250_F_jan26,poule,JOMR,AleN_EmP,JOMR,,,,,,
JOMR_jan26_MBV_03,MBV_S2-250_F_jan26,demi,JOMR,PauG_NeCH,JOMR,,,,,,
JOMR_jan26_MBV_04,MBV_S2-250_F_jan26,finale,JOMR,AleM_LauA,AleM_LauA,,,,,,
JOMR_nov24_Leuven_01,Leuven_Int_F_nov24,barrage,JOMR,(adv),(adv),,,,,,
JOMR_nov25_BSD_01,BSD_S2-250_F_nov25,demi,JOMR,MyH_HeR,JOMR,,,,,,
JOMR_nov25_BSD_02,BSD_S2-250_F_nov25,finale,JOMR,KaE_EmD,JOMR,,,,,,
JOMR_nov25_MBV_01,MBV_S2-500_F_nov25,quart,JOMR,ClaM_MaMeB,ClaM_MaMeB,,,,,,
JOMR_nov25_MBV_02,MBV_S2-500_F_nov25,barrage,JOMR,CloD_CirM,JOMR,,,,,,
JOMR_nov25_MBV_03,MBV_S2-500_F_nov25,poule,JOMR,VerF_FloA,JOMR,,,,,,
JOMR_nov25_MBV_04,MBV_S2-500_F_nov25,poule,JOMR,CloD_CirM,JOMR,,,,,,
JOMR_oct25_SSA_01,SSA_S2-500_F_oct25,poule,JOMR,MaDK_LuDK,JOMR,,,,,,
JOMR_oct25_SSA_02,SSA_S2-500_F_oct25,poule,JOMR,MaMeB_MarS,JOMR,,,,,,
JOMR_oct25_SSA_03,SSA_S2-500_F_oct25,quart,JOMR,PauG_AleF,JOMR,,,,,,
JOMR_oct25_SSA_04,SSA_S2-500_F_oct25,demi,JOMR,AlyO_AgR,AlyO_AgR,,,,,,
JOMR_oct25_SSA_05,SSA_S2-500_F_oct25,pfinale,JOMR,MaMeB_MarS,JOMR,,,,,,
JOMR_mar26_VSG_01,VSG_S2-1000_F_mar26,poule,JOMR,LeaS_MarG,,,,,,,
JOMR_mar26_VSG_02,VSG_S2-1000_F_mar26,poule,JOMR,MarL_MarB,,,,,,,
JOMR_mar26_VSG_03,VSG_S2-1000_F_mar26,barrage,JOMR,CecB_JulL,,,,,,,
AleD-RonP_mar26_session_01,session,session,AleD_RonP,MarB_JerD,AleD_RonP,,,,,,
AleD-RonP_mar26_session_02,session,session,AleD_RonP,DavC_AndP,,,,,,,
AleD-RonP_mar26_OLB_01,OLB_S2-250_M_mar26,poule,AleD_RonP,EmiJ_EdgC,EmiJ_EdgC,,,,,,
AleD-RonP_mar26_OLB_02,OLB_S2-250_M_mar26,poule,AleD_RonP,RomT_AleS,RomT_AleS,,,,,,
AleD-RonP_mar26_OLB_03,OLB_S2-250_M_mar26,poule,AleD_RonP,LauM_MatR,AleD_RonP,,,,,,
MarN-MatI_mar26_OLB_01,OLB_S2-250_M_mar26,poule,MarN_MatI,NicM_HugJ,MarN_MatI,,,,,,
MarN-MatI_mar26_OLB_02,OLB_S2-250_M_mar26,barrage,MarN_MatI,GasV_BasO,GasV_BasO,,,,,,
MarB-MatS_mar26_OLB_01,OLB_S2-250_M_mar26,poule,MarB_MatS,IbaD_SamG,MarB_MatS,,,,,,
JOMR_mar26_MON_01,MON_S2-1000_F_mar26,poule,JOMR,AleE_DinM,,,,,,,
JOMR_mar26_MON_02,MON_S2-1000_F_mar26,poule,JOMR,AlyO_EmeM,,,,,,,
JOMR_mar26_MON_03,MON_S2-1000_F_mar26,barrage/quart,JOMR,LauC_VicB,,,,,,,
