#GAME_id;serie;stage;name_adversaire;victoire;set1_score;set2_score;set3_score;set1_score_adv;set2_score_adv;set3_score_adv
JOMR_jan26_MBV_01;MBV_S2-250_F_jan26;poule;NoG_AliP;;;;;;;
JOMR_jan26_MBV_02;MBV_S2-250_F_jan26;poule;AleN_EmP;;;;;;;
JOMR_jan26_MBV_03;MBV_S2-250_F_jan26;demi;PauG_NeCH;VRAI;;;;;;
JOMR_jan26_MBV_04;MBV_S2-250_F_jan26;finale;AleM_LauA;FAUX;;;;;;
JOMR_nov24_Leuven_01;Leuven_Int_F_nov24;barrage;(adv);FAUX;;;;;;
JOMR_nov25_BSD_01;BSD_S2-250_F_nov25;demi;MyH_HeR;VRAI;;;;;;
JOMR_nov25_BSD_02;BSD_S2-250_F_nov25;finale;KaE_EmD;VRAI;;;;;;
JOMR_nov25_MBV_01;MBV_S2-500_F_nov25;;;;;;;;;
JOMR_nov25_MBV_02;MBV_S2-500_F_nov25;;;;;;;;;
JOMR_nov25_MBV_03;MBV_S2-500_F_nov25;;;;;;;;;
JOMR_nov25_MBV_04;MBV_S2-500_F_nov25;;;;;;;;;
JOMR_oct25_SSA_01;SSA_S2-500_F_oct25;;;;;;;;;
JOMR_oct25_SSA_02;SSA_S2-500_F_oct25;;;;;;;;;
JOMR_oct25_SSA_03;SSA_S2-500_F_oct25;;;;;;;;;
JOMR_oct25_SSA_04;SSA_S2-500_F_oct25;;;;;;;;;
JOMR_oct25_SSA_05;SSA_S2-500_F_oct25;pfinale;MaMeB_MarS;VRAI;;;;;;
